question;created_at
Hi! Könnt ihr bitte mal die Rechnung checken? Kommt mir bisschen hoch vor…;2023-10-05 15:45
Könnt ihr endlich meinen Vertrag kündigen? Hab’s jetzt schon dreimal geschrieben!;2023-10-01 09:12
Ich möchte meine Gas-Abschläge anpassen. Können Sie mir helfen?;2023-10-05 09:00
Was mache ich bei einem Stromausfall?;2023-10-04 07:55
Es ist unmöglich, dass der Zählerstand so hoch ist! Da stimmt doch was nicht!;2023-10-12 12:10
Warum ignoriert ihr die Anfrage? Kündigt endlich und bestätigt es mir schriftlich!;2023-10-06 08:25
Wie kann ich auf Lastschrift als Zahlungsart umstellen?;2023-10-08 16:05
Can we make an install date für die Solaranlage fixen? 😊;2023-10-07 11:15
Hey, ich brauche mal ne Verbrauchsübersicht der letzten 6 Monate. Geht das?;2023-10-03 13:40
Umzug inc., braucht neue Adresse asap pls 🏡;2023-10-02 08:45
Geht’s monatliche abrechnng machbar, statt jahrelich?;2023-10-09 09:10
Ich fordere eine sofortige Korrektur meiner Rechnung!;2023-10-13 10:50
Ferienwohnung, Stromvertrag auf anderen Tarif umstellen, wie geht?;2023-10-15 11:45
Wie kann ich den Zählerstand melden?;2023-10-08 13:30
Vielleicht gibt es ja eine Förderung für Solaranlagen? Weiß aber nicht genau…;2023-10-07 11:15
Könnt ihr mein Konto für E-Mail-Benachrichtigungen umstellen?;2023-10-14 12:20
Seit Wochen kein Update, aber die Preise steigen – unglaublich!;2023-10-14 09:30
Kann mann Zählerstand sleber machn oder nicht?;2023-10-14 12:20
App, die für Verbrauch geht, gibt es?;2023-10-04 12:10
Ich finde meine alten Rechnungen nicht – wo sind die? 📂;2023-10-14 09:30
Schon wieder keine Reaktion? Lasst mich bitte mit jemandem sprechen, der sich auskennt.;2023-10-15 08:50
Wie kann ich meine Pflanzen retten, sie sehen traurig aus.;2023-10-04 12:10
Was muss ich noch tun, damit mein Vertrag endlich gekündigt wird?!;2023-10-06 08:25
